window_mb,snv_count,indel_count,total_variants,combos,log10_combos,bits
1,5,0,5,663543705636287935200038880000,29.821869533819203,99.0661062464595
1,5,5,10,55908125759598323078852167331894875180288963827919234560000,58.74747493339787,195.15488748494545
1,5,10,15,395286488456210475044364590354468576210588392217888214701374166446006127775411240960000,86.59691196969537,287.66871480261875
1,10,0,10,1747128929987447596214130229121714849384030119622476080000,57.24232495507796,190.15488748494545
1,10,5,15,12352702764256577345136393448577143006580887256809006709417942701437691492981601280000,85.09176199137546,282.66871480261875
1,10,10,20,16915974750020310573640450631598955364586938014975677905466477643031909453544573890564222713217964356632535040000,112.2282970282167,372.81433293939693
1,20,0,20,16519506591816709544570752569920854848229431655249685454557107073273349075727122940004123743376918317023960000,109.21799707157689,362.81433293939693
1,20,5,25,6601193755676572343080468751951229678303225167142148959173690577274116193199880081007150779092303557544502196205077818083546992069632000,135.81962248018172,451.18301975391086
1,20,10,30,983424406913806795686926249213455574282138021990695555335468770637712478777370306195132143610655411766805275641261755858134738835501256908606837490371880304640000,161.99274098253503,538.1282374376946
5,5,0,5,2073594816004535998380000194400000,33.31672389845389,110.67576114787917
5,5,5,10,546002360291174846007138379974701499897144004657695701004172800000,65.73719452010258,218.3742333554043
5,5,10,15,12064453003464894534039877752536870152630456463264711065270338648004970901393252007512448204800000,97.08150763598685,322.4977877100067
5,10,0,10,17062573759099213937723074374209421871785750145552990656380400000,64.23204454178267,213.3742333554043
5,10,5,15,377014156358277954188746179766777192269701764477022220789698082750155340668539125234764006400000,95.57635765766695,317.4977877100067
5,10,10,20,1613539611999386754658906417746576448299242271852962161733598111275570098270169982094533698819895067705650445667689594675200000,126.20777963169319,419.2531689518746
5,20,0,20,1575722277343151127596588298580641062792228781106408361067966905542548924091962873139193065253803777056299263347353119800000,123.19747967505337,409.2531689518746
5,20,5,25,1967899332986400050334077873782860263399917909993800323515261137099452650618752738976034397669264155627340842601903691088155846684161933629004080348160000,153.2940028785228,509.2316549399091
5,20,10,30,916283853260158927718715584151389478700078986970677394261429450161837150566184352222592026391852345668655286378728774524446045412301845064828978276225973975411740236821571631923200000,182.96203003350183,607.7867078659151
10,5,0,5,66355117056036287993520000388800000,34.8218744196422,115.67576295124898
10,5,5,10,559109561924338256611647932894404892167497473865798782805528345600000,68.74749691965174,228.3742414705735
10,5,10,15,395333184740940881105830502268417474218009037417381680960477588043599392948393508502166213376409600000,101.59696327107198,337.4978066454135
10,10,0,10,17472173810135570519113997902950152880234296058306211962672760800000,67.24234694133185,223.37424147057357
10,10,5,15,12354162023154402534557203195888046069312782419293177530014924626362481029637297140692694168012800000,100.09181329275208,332.4978066454135
10,10,10,20,1691959095841160153784070048010759336089906391747211602267809144120208764741526192072189098959511098790903432858872610945269350400000,132.2283898594919,439.25320321596536
10,20,0,20,1652303804532382962679755906260507164150299210690636330339657367304891371817896671945497166952647557412991633651242784126239600000,129.21808990285209,429.25320321596536
10,20,5,25,66034220595963495285965294875863591802411848409075872356417849358343160073036560780039265103571699157969242984701823425247346540473706054516460303780960696320000,160.81976905621528,534.2317090411389
10,20,10,30,983905794521657870184217180297600147016990753846692044789007240997209119214875817382587036512575138648727275563748696421715968380034686887260523364669625755691298228103345607051423839846400000,191.99295351827078,637.7867863127472
